composer
"Abel, Carl Friedrich"
"Abril Tirado, Pedro"
"Abt, Franz"
"Adam, Adolphe"
"Afanasyev, Nikolay Yakovlevich"
"Agrell, Johan"
"Aguado, Dionisio"
"Aimon, Léopold"
"Akimenko, Theodore"
"Alard, Jean Delphin"
"Alary, Georges"
"Albergati, Pirro Capacelli Conte"
"Albert, Charles d'"
"Albert, Eugen d'"
"Albert, Heinrich (d. 1651)"
"Albert, Heinrich (d. 1950)"
"Alberti, H."
"Albinoni, Tomaso"
"Albrechtsberger, Johann Georg"
"Albrici, Vincenzo"
"Albéniz, Isaac"
"Aldrovandini, Giuseppe Antonio Vincenzo"
"Alejandre Prada, Manuel"
"Alfano, Franco"
"Alkan, Charles-Valentin"
"Allaga, Géza"
"Allen, Paul Hastings"
"Alnæs, Eyvind"
"Aloïz, Ladislas"
"Alphonse, Maxime"
"Alvarez, Fermin María"
"Alyabyev, Alexander"
"Amani, Nikolay"
"Amberg, Johan"
"Amon, Johann Andreas"
"Andersen, Joachim"
"Andlauer, Louis Marie François"
"André, Johann"
"Anglebert, Jean-Henri d'"
Anglicanus
Anonymous
"Anschütz, Jacques-Albert"
"Antes, John"
"Antipov, Konstantin Afanasyevich"
"Anzoletti, Marco"
"Aprile, Giuseppe"
"Arban, Jean-Baptiste"
"Arensky, Anton Stepanovich"
"Ariosti, Attilio"
"Arne, Thomas Augustine"
"Arnold, John"
"Arnold, Samuel"
Arnoldi
"Artôt, Alexandre Joseph"
"Ascher, Joseph"
"Ashton, Algernon"
"Asola, Giammateo"
"Auber, Daniel François Esprit"
"Audran, Edmond"
"Aulin, Tor"
"Austri, Giuseppe"
"Averkamp, Anton"
"Avison, Charles"
"Avni, Boaz"
"Bach, August Wilhelm"
"Bach, Carl Philipp Emanuel"
"Bach, Johann Christian"
"Bach, Johann Christoph Friedrich"
"Bach, Johann Sebastian"
"Bach, Wilhelm Friedemann"
"Backer-Grøndahl, Agathe"
"Baermann, Carl"
"Baermann, Heinrich"
"Baille, Gabriel"
"Baillot, Pierre"
"Baines, William"
"Bakfark, Bálint"
"Balakirev, Mily"
"Balfe, Michael William"
"Banchieri, Adriano"
"Baptiste, Ludwig Albert Friedrich"
"Barber, Robert"
"Bargiel, Woldemar"
"Barmann, Johann Friedrich"
"Barrière, Jean-Baptiste"
"Barth, Richard"
"Bartók, Béla"
"Bas, Giulio"
"Bassani, Giovanni Battista"
"Bassano, Giovanni"
"Bastard, William"
"Bateson, Thomas"
"Batiste, Edouard"
"Batta, Alexandre"
"Bax, Arnold"
"Bazin, François"
"Bazzini, Antonio"
"Becucci, Ernesto"
"Beecke, Ignaz von"
"Beethoven, Ludwig van"
"Behr, Franz"
"Beischer-Matyó, Tamás"
"Belcher, Supply"
"Beliczay, Gyula"
"Belletti, Giovanni Battista"
"Bemetzrieder, Anton"
"Benda, Franz"
"Benda, Friedrich Ludwig"
"Benda, Friedrich Wilhelm Heinrich"
"Benda, Georg"
"Benda, Johann"
"Bendel, Franz"
"Benedict, Julius"
"Beneggi, Giovanni"
"Benincori, Angelo Maria"
"Bennet, John"
"Bennett, William Sterndale"
"Berardi, Angelo"
"Berens, Hermann"
"Berg, Albert W."
"Berg, George"
"Berger, Wilhelm"
"Beringer, Georg"
"Berlioz, Hector"
"Bernabei, Giuseppe Antonio"
"Bernard, Émile"
"Bernardi, Steffano"
"Bernhard, Christoph"
"Bernier, Nicolas"
"Bertini, Henri"
"Berton, Pierre Montan"
"Berton, Roland de"
"Bertuzzi, Pietro"
"Besozzi, Alessandro"
"Besozzi, Louis-Désiré"
"Beständig, Otto"
"Beyer, Ferdinand"
"Bianchini, Pietro"
"Biber, Heinrich Ignaz Franz von"
"Bignami, Carlo"
"Billings, William"
"Bilstin, Yuri"
"Bird, Arthur H."
"Birkedal-Barfod, Ludvig"
"Bizet, Georges"
"Blake, Charles Dupee"
"Blanc, Adolphe"
"Blanchet, Emile-Robert"
"Blanck, Hubert de"
"Blangini, Joseph Marie Felix"
"Blangini, Thérèse"
"Blessner, Gustav"
"Blumenfeld, Felix"
"Blumenthal, Jacques"
"Blumenthal, Joseph von"
"Bobrowicz, Jan Nepomucen"
"Boccherini, Luigi"
"Bochsa, Nicholas Charles"
"Boehe, Ernst"
"Boehm, Theobald"
"Bohm, Carl"
"Bohrer, Antoine"
"Boieldieu, François Adrien"
"Boisdeffre, René de"
"Boismortier, Joseph Bodin de"
"Boito, Arrigo"
"Bona, Pasquale"
"Bonis, Mel"
"Bonnet, Joseph"
"Bonvin, Ludwig"
"Bordogni, Marco"
"Borghi, Luigi"
"Borodin, Alexander Porfirevich"
"Borsani, Mosè Isidori"
"Bosch, Jacques"
"Bossi, Marco Enrico"
"Bottesini, Giovanni"
"Boulnois, Joseph"
"Bournonville, Jacques de"
"Boyce, William"
"Boyvin, Jacques"
"Boëllmann, Léon"
"Brachet, Philip Louis"
"Brahms, Johannes"
"Brauer, Max"
"Braun, Carl Anton Philipp"
"Bremner, Robert"
"Brescianello, Giuseppe Antonio"
"Bretón, Tomás"
"Breuer, Bernhard"
"Briccialdi, Giulio"
"Brisson, Frédéric"
"Brod, Henri"
"Bronsart, Ingeborg"
"Brosig, Moritz"
"Bruch, Max"
"Bruhns, Nicolaus"
"Bruna, Pablo"
"Bruni, Antonio Bartolomeo"
"Bréval, Jean-Baptiste"
"Brüll, Ignaz"
"Bulch, Thomas Edward"
"Bull, Ole"
"Bunting, Edward"
"Buonamente, Giovanni Battista"
"Burgmüller, Friedrich"
"Burgmüller, Norbert"
"Burney, Charles"
"Bury, Bernard de"
"Buxtehude, Dietrich"
"Byrd, William"
"Bâton, Charles"
"Bériot, Charles-Auguste de"
"Bülow, Hans von"
"Bülow, Johan"
"Bądarzewska-Baranowska, Tekla"
"Cabezón, Antonio de"
"Caccini, Francesca"
"Caccini, Giulio"
"Caix d'Hervelois, Louis de"
"Calegari, Francesco"
"Call, Leonhard von"
"Calvo, Luis Antonio"
"Cambini, Giuseppe Maria"
"Camerloher, Placidus von"
"Campagnoli, Bartolomeo"
"Campana, Fabio"
"Campra, André"
"Canaletti, Giovanni Battista"
"Capuzzi, Antonio"
"Carcassi, Matteo"
"Cardon, Jean-Baptiste"
"Caresana, Cristofaro"
"Carey, Henry"
"Carissimi, Giacomo"
"Carpenter, John Alden"
"Carreño, Teresa"
"Carulli, Ferdinando"
"Casella, Alfredo"
"Castelbarco-Visconti, Cesare"
"Castillon, Alexis de"
"Castro, Ricardo"
"Catalani, Alfredo"
"Catoire, Georgy"
"Cauciello, Prospero"
"Cavalli, Francesco"
"Cavallini, Eugenio"
"Cavallo, Peter"
"Cazzati, Maurizio"
"Cellitti, Venanzio"
"Centola, Ernesto"
"Cervetto, Giacobbe Basevi"
"Cesari, Pietro"
"Cesti, Antonio"
"Chamberlain, Howard"
"Chambonnières, Jacques Champion de"
"Chaminade, Cécile"
"Chandelier, Albert"
"Chartrain, Nicolas-Joseph"
"Chavagnat, Edouard"
"Cherubini, Luigi"
"Chollet, Henri"
"Chédeville, Nicolas"
"Cieutat, Henri"
"Cifra, Antonio"
"Cimarosa, Domenico"
"Cinna, Óscar de la"
"Cirri, Giovanni Battista"
"Clavers, Rémy"
"Clementi, Muzio"
"Clinton, John"
"Clérice, Justin"
"Coedes-Mongin, Madame"
"Cohen, Henry"
"Collasse, Pascal"
"Collin, Hélène"
"Colomer, Blas María de"
"Colonna, Giovanni Paolo"
"Combes, Louis"
"Concone, Giuseppe"
"Conus, Georges"
"Converse, Frederick Shepherd"
"Cools, Eugène"
"Coop, Ernesto A. L."
"Corelli, Arcangelo"
"Cornet, Peeter"
"Corrette, Michel"
"Corsi, Giovanni"
"Cossmann, Bernhard"
"Costa, Fabio"
"Coste, Napoléon"
"Cottin, Alfred"
"Couperin, François"
"Cramer, Henri (fl. 1890)"
"Cramer, Johann Baptist"
"Cras, Jean"
"Croce, Giovanni"
"Croubelis, Simoni dall"
"Crusell, Bernhard Henrik"
"Crémont, Pierre"
"Curti, Carlo"
"Czerny, Carl"
